timestamp,open,high,low,close,volume
2025-09-29,220.0800,222.6000,219.3000,222.1700,44259177
2025-09-26,219.0800,221.0500,218.0200,219.7800,41650098
2025-09-25,220.0600,220.6700,216.4700,218.1500,52226328
2025-09-24,224.1500,224.5600,219.4500,220.2100,49509033
2025-09-23,227.8300,227.8600,220.0700,220.7100,70956193
2025-09-22,230.5600,230.5650,227.5100,227.6300,45914506
2025-09-19,232.3700,234.1600,229.7000,231.4800,97943172
2025-09-18,232.5000,233.4800,228.7900,231.2300,37931738
2025-09-17,233.7700,234.3000,228.7100,231.6200,42815230
2025-09-16,232.9350,235.9000,232.2300,234.0500,38203912
2025-09-15,230.6250,233.7300,230.3200,231.4300,33243328
2025-09-12,230.3500,230.7900,226.2900,228.1500,38496218
2025-09-11,231.4900,231.5300,229.3377,229.9500,37485598
2025-09-10,237.5150,237.6800,229.0962,230.3300,60907714
2025-09-09,236.3550,238.8500,235.0800,238.2400,27033778
2025-09-08,234.9400,237.6000,233.7500,235.8400,33947104
2025-09-05,235.1900,236.0000,231.9300,232.3300,36721802
2025-09-04,231.1850,235.7700,230.7800,235.6800,59391779
2025-09-03,225.2100,227.1699,224.3600,225.9900,26355706
2025-09-02,223.5200,226.1700,221.8300,225.3400,38843883
2025-08-29,231.3200,231.8125,228.1600,229.0000,26199170
2025-08-28,229.0050,232.7100,228.0200,231.6000,33679585
2025-08-27,228.5700,229.8700,227.8100,229.1200,21254479
2025-08-26,227.1100,229.0000,226.0200,228.7100,26105373
2025-08-25,227.3500,229.6000,227.3100,227.9400,22633695
2025-08-22,222.7900,229.1400,220.8200,228.8400,37315341
2025-08-21,222.6500,222.7800,220.5000,221.9500,32140459
2025-08-20,227.1200,227.2700,220.9150,223.8100,36604319
2025-08-19,230.0900,230.5283,227.1200,228.0100,29891012
2025-08-18,230.2250,231.9100,228.3300,231.4900,25248890
2025-08-15,232.5800,234.0800,229.8070,231.0300,39649244
2025-08-14,227.4000,233.1100,227.0200,230.9800,61545824
2025-08-13,222.0000,224.9185,222.0000,224.5600,36508335
2025-08-12,222.2300,223.5000,219.0500,221.4700,37254707
2025-08-11,221.7800,223.0500,220.4000,221.3000,31646222
2025-08-08,223.1400,223.8000,221.8836,222.6900,32970477
2025-08-07,221.0000,226.2200,220.8200,223.1300,40603513
