timestamp,open,high,low,close,volume
2025-09-29,748.7200,750.7800,739.1500,743.4000,9246768
2025-09-26,750.0000,751.9299,737.3532,743.7500,9696338
2025-09-25,753.4500,756.7650,744.5500,748.9100,10591065
2025-09-24,757.5000,761.1100,752.5251,760.6600,8828227
2025-09-23,769.2500,770.6000,751.0700,755.4000,10872592
2025-09-22,781.8450,785.7300,764.4700,765.1600,11706946
2025-09-19,786.4200,790.8000,769.1901,778.3800,23696824
2025-09-18,780.7500,788.7800,773.3600,780.2500,10954950
2025-09-17,779.9900,783.2900,766.3100,775.7150,9400867
2025-09-16,767.0000,781.3600,765.1000,779.0000,11782482
2025-09-15,757.4700,774.0700,751.9850,764.7000,10533780
2025-09-12,748.7250,757.5703,743.7600,755.5900,8248557
2025-09-11,754.6500,757.1000,748.3700,750.9000,7923284
2025-09-10,765.1300,765.7000,751.0000,751.9800,12478276
2025-09-09,757.4900,766.3000,753.4300,765.7000,10999026
2025-09-08,755.9950,766.5100,752.0200,752.3000,13087816
2025-09-05,752.6150,757.9500,745.0300,752.4500,9663441
2025-09-04,748.5700,761.1600,745.8200,748.6500,11439078
2025-09-03,736.0000,740.2500,733.9893,737.0500,7650495
2025-09-02,726.0400,736.0000,721.7306,735.1100,9350857
2025-08-29,745.2800,747.1400,735.3466,738.7000,9070546
2025-08-28,744.0000,753.0548,740.7950,751.1100,7467955
2025-08-27,752.3000,754.1499,742.8400,747.3800,8315435
2025-08-26,750.8000,754.8700,747.9400,754.1000,7601800
2025-08-25,754.8200,758.8800,750.1300,753.3000,6861158
2025-08-22,739.2300,756.9000,734.3900,754.7900,10612667
2025-08-21,744.7050,745.5000,733.1101,739.1000,8876307
2025-08-20,747.5700,750.1999,731.0000,747.7200,11898190
2025-08-19,767.1200,767.1700,749.3600,751.4800,12286690
2025-08-18,775.0850,775.8100,756.5601,767.3700,16513737
2025-08-15,784.1500,796.2500,780.8200,785.2300,13375361
2025-08-14,777.8800,787.8100,772.5100,782.1300,8116193
2025-08-13,791.1500,795.4561,778.2300,780.0800,8811750
2025-08-12,773.0000,793.6700,772.4300,790.0000,14579765
2025-08-11,770.0750,773.4584,764.6700,765.8700,7611964
2025-08-08,762.7500,769.9000,758.5800,769.3000,7320755
2025-08-07,773.4900,775.0000,759.5500,761.8300,9019691
2025-08-06,770.0000,773.6400,760.4601,771.9900,9733910
2025-08-05,776.4450,783.1299,763.0000,763.4600,11640294
2025-08-04,760.0000,776.8500,758.4100,776.3700,15801727
2025-08-01,760.7300,765.9999,745.3100,750.0100,19028710
2025-07-31,775.2000,784.7500,765.5100,773.4400,38831098
2025-07-30,708.0900,708.5000,691.2001,695.2100,27077286
2025-07-29,720.0000,724.4700,699.9100,700.0000,13267032
2025-07-28,715.2000,724.7352,712.6800,717.6300,8715743
2025-07-25,716.9150,720.6499,711.9000,712.6800,8271698
2025-07-24,717.0500,723.6239,714.0000,714.8000,10920836
2025-07-23,706.3650,714.6285,704.9300,713.5800,8771615
2025-07-22,716.1900,716.6000,701.4100,704.8100,8921064
2025-07-21,706.8000,717.0000,705.7600,712.9650,9404391
2025-07-18,702.1900,704.7100,691.6500,704.2800,12779752
2025-07-17,704.3900,705.9000,697.1050,701.4100,11803264
2025-07-16,713.3700,713.9700,699.2701,702.9100,13067627
2025-07-15,723.9000,724.4716,709.8200,710.3900,11529511
2025-07-14,717.6000,728.0000,716.5470,720.9200,8939399
2025-07-11,722.4950,725.1600,709.7000,717.5100,10873880
2025-07-10,731.5500,735.7999,719.6000,727.2400,9922249
2025-07-09,722.7150,737.5300,722.7150,732.7800,11417963
2025-07-08,721.5700,722.9099,714.8100,720.6700,7770693
2025-07-07,717.6000,727.0000,713.5100,718.3500,9457080
2025-07-03,726.6100,729.0300,714.4200,719.0100,8601653
2025-07-02,715.3250,720.3000,712.8000,713.5700,9336740
2025-07-01,736.8750,737.7499,715.3700,719.2200,13431248
2025-06-30,744.5500,747.9000,734.2500,738.0900,15402105
2025-06-27,726.5150,735.4300,725.8600,733.6300,18775735
2025-06-26,714.3550,728.2200,711.0500,726.0900,13964793
2025-06-25,713.3150,716.5800,705.3800,708.6800,9320436
2025-06-24,704.8850,713.1900,702.1100,712.2000,13823180
2025-06-23,683.6900,699.0500,678.7500,698.5300,11080055
2025-06-20,700.7500,701.8197,678.6700,682.3500,22538640
2025-06-18,698.1800,701.5900,694.9000,695.7700,10068255
2025-06-17,702.0000,705.9700,696.0600,697.2300,10066110
2025-06-16,699.3300,707.1500,693.5103,702.1200,13720288
2025-06-13,687.9500,694.5700,681.0100,682.8700,9274441
2025-06-12,693.3000,695.3800,687.0000,693.3600,7322730
2025-06-11,703.7050,708.8707,691.9900,694.1400,9582508
2025-06-10,701.3450,703.2300,691.5600,702.4000,10850146
2025-06-09,698.4600,705.1900,693.9400,694.0600,12773221
2025-06-06,696.1700,702.8060,691.8700,697.7100,11727961
2025-06-05,691.6600,694.3800,682.2500,684.6200,13120335
2025-06-04,669.3200,689.0000,668.5700,687.9500,14031931
2025-06-03,671.4450,675.5800,665.0300,666.8500,11585031
2025-06-02,644.3900,673.2600,644.2616,670.9000,15766258
2025-05-30,642.5000,649.4099,632.7800,647.4900,16240951
2025-05-29,651.6450,653.3200,639.5000,645.0500,8883436
2025-05-28,642.6000,650.8800,642.5472,643.5800,9042874
2025-05-27,635.4100,643.0800,632.7500,642.3200,9508367
2025-05-23,624.0000,632.4450,622.6500,627.0600,8454067
2025-05-22,634.0500,643.2500,630.7100,636.5700,8228443
2025-05-21,631.7900,646.6100,630.1700,635.5000,11464569
2025-05-20,636.0100,639.3536,632.2600,637.1000,6743473
2025-05-19,628.2500,643.0000,627.8000,640.4300,9592374
2025-05-16,637.9550,640.4400,626.1500,640.3400,18518972
2025-05-15,654.2750,657.3100,638.5800,643.8800,14341835
2025-05-14,661.2100,662.6700,654.3100,659.3600,12348179
2025-05-13,645.5450,660.9200,642.8300,656.0300,18570821
2025-05-12,630.9200,640.3896,621.0300,639.4300,21965085
2025-05-09,603.7200,606.9700,591.7062,592.4900,10427286
2025-05-08,606.2850,611.2959,596.6200,598.0100,14622805
2025-05-07,590.3600,603.0750,586.6700,596.8100,13160976
