AAPL,Apple Inc.
MSFT,Microsoft Corporation
GOOGL,Alphabet Inc. (Google)
AMZN,Amazon.com, Inc.
NVDA,NVIDIA Corporation
TSLA,Tesla, Inc.
META,Meta Platforms, Inc. (Facebook)
JPM,JPMorgan Chase & Co.

