timestamp,open,high,low,close,volume
2025-09-29,317.0600,318.0100,313.6600,315.6900,6462442
2025-09-26,314.9000,317.8100,313.7040,316.0600,7258136
2025-09-25,314.1200,315.6500,311.8000,313.4500,7083198
2025-09-24,314.0500,316.5773,311.6650,313.4200,7310513
2025-09-23,311.8150,316.3141,310.5800,312.7400,8584420
2025-09-22,309.8000,313.7000,309.5550,312.4400,7520190
2025-09-19,313.6000,315.8000,309.1200,314.7800,23568551
2025-09-18,311.7900,313.4400,309.6100,313.2300,8050671
2025-09-17,310.3900,312.9100,308.7722,311.7500,8657765
2025-09-16,310.0000,310.9000,307.1347,309.1900,10525594
2025-09-15,307.1700,309.9500,307.1700,308.9000,7122015
2025-09-12,305.0000,307.5500,303.6950,306.9100,6846674
2025-09-11,301.2400,305.7300,300.7925,305.5600,7942489
2025-09-10,296.7000,301.5400,295.4000,300.5400,7787303
2025-09-09,292.6000,299.0000,292.3100,297.8500,7848196
2025-09-08,294.8900,296.4600,291.4400,292.9100,8188506
2025-09-05,303.6500,305.1500,294.3100,294.3800,9837709
2025-09-04,300.0000,304.4300,298.2800,303.8200,6605797
2025-09-03,300.5700,300.5700,296.3800,299.5100,6173800
2025-09-02,300.2600,300.4550,294.5000,299.7000,7221855
2025-08-29,302.0400,302.9500,299.7300,301.4200,6796380
2025-08-28,300.0250,301.2399,298.7000,301.0700,6410535
2025-08-27,297.2500,301.0700,297.0400,299.2800,6056513
2025-08-26,294.1600,298.7400,293.5001,298.5700,6714749
2025-08-25,296.2400,297.3475,294.1400,294.9000,5856258
2025-08-22,293.2000,297.1600,290.1300,296.2400,8552847
2025-08-21,291.9400,292.7661,289.4725,291.4700,6624161
2025-08-20,290.8100,293.3300,287.2700,292.2400,7374244
2025-08-19,290.8300,292.4800,289.5300,290.6600,6031520
2025-08-18,290.0000,291.9000,288.4100,291.5300,5386856
2025-08-15,294.8400,295.5000,289.8200,290.4900,7340518
2025-08-14,290.5800,294.2000,289.6391,294.1600,6322381
2025-08-13,293.9500,294.5500,287.1600,290.5300,8420407
2025-08-12,291.5000,294.7500,290.3400,292.8500,8572034
2025-08-11,289.4000,291.3200,288.7800,289.5600,5510113
2025-08-08,288.9800,291.2300,284.7060,288.7600,6634506
2025-08-07,292.9400,293.4600,286.4100,286.9400,8057109
2025-08-06,292.3000,293.2900,290.1600,291.3500,6330155
2025-08-05,294.6900,295.7850,287.2400,291.3700,7182333
2025-08-04,290.2600,294.3200,290.2600,294.2600,6649542
2025-08-01,290.4000,291.7950,284.2376,289.3700,12007111
2025-07-31,299.1400,300.9750,295.5000,296.2400,14749652
2025-07-30,297.4200,300.6100,297.3800,299.6300,8061742
2025-07-29,300.0000,301.2931,296.2000,297.0400,7635719
2025-07-28,297.6600,299.4300,296.8200,298.2800,5840417
2025-07-25,296.7000,298.9000,295.9550,298.6200,5918875
2025-07-24,297.4200,299.5899,296.2000,296.5500,7001242
2025-07-23,292.8400,296.9900,292.5500,296.7600,7083510
2025-07-22,291.5000,293.6250,289.1800,291.4300,6717461
2025-07-21,291.0000,294.1800,290.5800,290.9700,7898141
2025-07-18,289.5200,292.5000,288.2300,291.2700,12217018
2025-07-17,283.4400,290.2965,283.4400,289.9000,8509504
2025-07-16,288.4000,290.7300,283.0100,285.8200,9979768
2025-07-15,288.0000,291.9500,285.4800,286.5500,12526110
2025-07-14,287.0700,289.3000,285.2556,288.7000,9079941
2025-07-11,285.5200,287.3800,283.6550,286.8600,7384674
2025-07-10,283.0000,288.3100,283.0000,288.1900,8413847
2025-07-09,287.1800,287.1950,282.4800,283.1600,11273801
2025-07-08,289.2750,289.7000,280.3100,282.7800,15440856
2025-07-07,295.2500,296.0400,290.0800,291.9700,8825732
2025-07-03,292.1500,296.4000,291.2100,296.0000,6541646
2025-07-02,292.0400,292.8220,289.7000,292.0000,8158692
2025-07-01,290.8900,291.1300,286.5900,290.4100,9338260
2025-06-30,290.4000,292.6500,288.9200,289.9100,12689156
2025-06-27,285.8100,288.6962,285.0400,287.1100,17868633
2025-06-26,284.7000,289.4100,284.4700,288.7500,8942062
2025-06-25,281.5000,284.2800,280.9100,284.0600,6826901
2025-06-24,280.2100,282.7150,279.5100,281.2600,9267941
2025-06-23,275.0600,278.5500,272.1128,278.2700,8094559
2025-06-20,275.5700,277.3000,273.8119,275.0000,13969674
2025-06-18,270.0000,277.7200,269.7200,273.9600,9586440
2025-06-17,268.1700,270.5900,267.8000,269.5200,6739262
2025-06-16,267.0000,271.7300,266.8500,270.3600,8566019
2025-06-13,265.0800,267.0200,262.7100,264.9500,7098265
2025-06-12,266.8600,268.2900,265.1400,268.2400,6618026
2025-06-11,268.6800,269.6199,265.7862,268.1500,7434064
2025-06-10,265.8800,268.9000,265.8500,268.6000,7538135
2025-06-09,266.0000,267.9000,263.3500,266.7400,8285364
2025-06-06,264.3300,266.6500,264.2600,265.7300,7738134
